city,timestamp,temperature,season
New York,2010-01-01,0.9612914061754123,winter
New York,2010-01-02,-3.4866477403322533,winter
New York,2010-01-03,1.0466839580880412,winter
New York,2010-01-04,12.974420389179699,winter
New York,2010-01-05,8.431282108790612,winter
New York,2010-01-06,-4.456512532590265,winter
New York,2010-01-07,1.5017491227088748,winter
New York,2010-01-08,6.317779564153705,winter
New York,2010-01-09,1.4266575190014394,winter
New York,2010-01-10,-12.52410051683107,winter
New York,2010-01-11,-4.190474479503159,winter
New York,2010-01-12,4.304152190666305,winter
New York,2010-01-13,10.523061617649912,winter
New York,2010-01-14,-8.608402979936717,winter
New York,2010-01-15,-0.3378337164113042,winter
New York,2010-01-16,-1.3095115209478545,winter
New York,2010-01-17,4.853414044289189,winter
New York,2010-01-18,8.775254289241618,winter
New York,2010-01-19,8.888050805324605,winter
New York,2010-01-20,-5.905951074632211,winter
New York,2010-01-21,-3.890114687000665,winter
New York,2010-01-22,-1.261518780882254,winter
New York,2010-01-23,-9.287257214999714,winter
New York,2010-01-24,-10.234064089612467,winter
New York,2010-01-25,2.864265287338037,winter
New York,2010-01-26,-1.9622112760689934,winter
New York,2010-01-27,-3.350866477449959,winter
New York,2010-01-28,-2.6720486067522566,winter
New York,2010-01-29,5.40622572167795,winter
New York,2010-01-30,1.832569608005672,winter
New York,2010-01-31,0.4722294499155511,winter
New York,2010-02-01,2.5227822657767947,winter
New York,2010-02-02,-4.941602022908259,winter
New York,2010-02-03,-8.63275276495884,winter
New York,2010-02-04,-2.84215352326635,winter
New York,2010-02-05,-2.4988508724979575,winter
New York,2010-02-06,1.1336634572052025,winter
New York,2010-02-07,0.7743778910011684,winter
New York,2010-02-08,3.1146298513815744,winter
New York,2010-02-09,-5.561805060164996,winter
New York,2010-02-10,0.25952337753364574,winter
New York,2010-02-11,0.3598783472434476,winter
New York,2010-02-12,0.8267893643655156,winter
New York,2010-02-13,-2.6642490406323254,winter
New York,2010-02-14,5.6265894193935235,winter
New York,2010-02-15,-3.171478933734953,winter
New York,2010-02-16,-1.2768745610980015,winter
New York,2010-02-17,-3.917324843784573,winter
New York,2010-02-18,-0.6222797406211815,winter
New York,2010-02-19,1.808101251467823,winter
New York,2010-02-20,6.000212978800297,winter
New York,2010-02-21,1.7801471401439906,winter
New York,2010-02-22,4.63387114552851,winter
New York,2010-02-23,0.4535070590715082,winter
New York,2010-02-24,-0.25467325122252243,winter
New York,2010-02-25,6.125145782532979,winter
New York,2010-02-26,0.5698499103653463,winter
New York,2010-02-27,-0.8756572013254521,winter
